conglome,vivienda,hogar,codperso,ocupinf_t1,ocupinf_t2,sexo,edad,estadocivil,tuvotrabajo,categoria_trabajador,trabajopara,registrosunat,cuentassunat,tipocontrato,numpersonastrabajo,tuvootrotrabajo,normtrabaja,horas_normtrabaja,disponiblehorastrabajar,deseaotrotrabajo,antepasadosconsidera,perteneceindig,lenguamaterna,niveleduc,asiste_educ,usointernet,viviadistrito,padece_enfer,sintoma_malestar,enfermedad,recaida,accidente,notuvoenf,essalud,seguroprivado,eps,seguroffaa,sis,tipovivienda,materialparedes,materialpisos,materialtechos,habitaciones,habitacionesdormir,vivienda_status,viviendatitulo,agua_procedencia,agua_potable,conexionsshh,electricidad,celular,internet,personas_ingresos,personas_hogar,pobreza,periodo,status_inf,tiempotrabajo,alquiler,horastotales_sempasada,ingtrabw
000129,051,11,03,2,1,1,45,6,1,1,99,1,1,99,1,2,2,63,2,2,6,2,4,8,2,1,1,1,0,1,0,0,0,2,2,2,2,2,1,1,5,1,7,2,2,1,1,1,1,1,1,0,2,3,3,2014-2015,1,13,800,35,47818
000129,074,11,01,2,1,2,61,5,1,3,2,99,99,1,5,2,1,30,2,2,6,2,1,8,2,1,1,1,0,1,0,0,0,1,2,2,2,2,1,3,5,3,5,3,2,1,1,1,1,1,1,1,5,7,3,2014-2015,1,19,300,30,19046
000129,074,11,02,2,2,1,37,6,1,3,2,99,99,1,5,2,1,50,2,2,1,2,4,10,2,1,1,2,0,1,0,0,0,1,2,2,2,2,1,3,5,3,5,3,2,1,1,1,1,1,1,1,5,7,3,2014-2015,0,14,300,50,26660
000129,108,11,03,2,2,1,52,6,1,4,6,1,1,2,4,2,1,66,2,2,6,1,4,6,2,2,1,1,0,0,0,0,1,1,2,2,2,2,1,3,5,4,4,4,2,1,1,1,1,2,1,0,3,5,3,2014-2015,0,.083333336,50,66,21584
000130,013,11,09,2,2,1,30,6,1,4,6,1,1,2,5,2,1,70,2,2,1,2,1,6,2,1,1,1,1,1,0,0,0,1,2,2,2,2,1,1,5,1,7,4,2,1,1,1,1,2,1,0,9,10,3,2014-2015,0,4,700,70,77934
000130,039,11,01,2,2,1,60,2,1,1,99,1,1,99,1,2,1,43,2,2,1,2,1,5,2,2,1,1,1,0,0,0,0,1,2,2,2,2,1,1,5,1,4,0,2,1,1,1,1,1,1,1,4,6,3,2014-2015,0,4,500,43,80093
000130,039,11,02,2,2,2,56,2,1,3,2,99,99,1,5,2,1,40,2,2,1,3,1,8,2,1,1,1,1,0,0,0,0,1,2,2,2,2,1,1,5,1,4,0,2,1,1,1,1,1,1,1,4,6,3,2014-2015,0,31,500,40,22555
000130,039,11,03,2,1,2,31,6,1,3,6,1,1,2,5,1,1,25,2,2,1,2,1,11,1,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,5,1,4,0,2,1,1,1,1,1,1,1,4,6,3,2014-2015,1,.16666667,500,25,36891
000130,075,12,04,2,2,1,28,6,1,3,6,1,1,1,5,2,1,48,2,2,6,2,4,5,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,3,6,4,5,4,2,2,1,1,1,2,1,0,5,6,3,2014-2015,0,12,150,48,13142
000132,007,11,03,2,1,1,29,6,1,3,6,2,1,1,3,2,1,30,1,2,1,2,4,8,2,1,1,1,1,1,0,0,0,1,2,2,2,2,1,1,3,1,8,5,2,1,1,1,1,1,1,1,5,6,3,2014-2015,1,1.6666666,500,30,22662
000132,023,11,03,2,1,2,33,2,1,3,6,1,1,2,5,1,1,7,2,2,1,2,1,11,1,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,5,1,8,4,2,1,1,1,1,1,1,0,4,6,3,2014-2015,1,.16666667,560,7,14650.666
000132,075,11,01,2,2,2,55,3,1,2,99,2,1,99,1,2,1,49,2,2,6,1,1,5,2,2,1,1,0,0,1,0,0,2,2,2,2,1,1,1,5,1,9,7,2,1,1,1,1,1,1,1,4,6,3,2014-2015,0,20,500,49,13236
000132,075,11,02,2,2,1,37,6,1,3,6,1,1,2,2,2,1,42,2,2,6,2,1,11,2,1,1,1,0,1,0,0,0,1,2,2,2,2,1,1,5,1,9,7,2,1,1,1,1,1,1,1,4,6,3,2014-2015,0,7,500,42,40176
000132,088,11,01,2,2,2,48,5,1,3,2,99,99,1,5,2,1,30,1,2,1,1,4,10,2,1,1,1,0,1,0,0,0,1,2,2,2,2,1,1,5,1,5,4,2,1,1,1,1,1,1,1,3,3,3,2014-2015,0,23,250,30,19368
000145,041,22,01,2,2,1,46,1,1,4,6,2,1,1,1,2,1,44,2,2,6,2,4,6,2,1,1,2,1,0,0,0,0,1,2,2,2,2,,,,,,,6,99,1,1,1,1,1,0,2,4,3,2014-2015,0,7,150,44,45753
000145,081,11,01,2,2,1,33,2,1,4,5,1,1,2,5,2,2,84,2,1,5,2,4,5,2,1,1,1,0,1,0,0,0,1,2,2,2,2,1,9,6,6,3,2,6,99,1,1,1,1,1,0,1,4,3,2014-2015,0,2,50,24,29522
000151,037,11,03,2,2,2,42,6,1,3,2,99,99,6,5,2,2,45,2,2,6,2,4,10,2,1,1,1,0,1,0,0,0,1,2,2,2,2,1,9,6,6,4,3,2,1,1,1,1,2,1,0,3,3,3,2014-2015,0,1.5,200,36,18020
000151,053,11,01,2,2,1,27,6,1,3,6,2,1,2,4,2,1,48,2,1,6,1,4,8,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,5,1,6,4,2,1,1,1,1,1,1,0,1,1,3,2014-2015,0,.66666669,200,48,14101
000151,095,11,01,2,2,1,44,2,1,3,6,1,1,2,5,2,1,80,2,2,6,2,4,6,2,2,1,2,0,0,0,0,1,1,1,2,2,2,1,1,3,1,5,4,2,1,1,1,1,1,1,1,3,3,3,2014-2015,0,20.416666,800,80,149095
000157,029,22,01,2,1,1,24,1,1,4,6,1,1,2,3,2,1,50,2,2,6,2,4,5,2,2,1,1,0,0,0,0,1,1,2,2,2,2,,,,,,,6,99,1,1,1,1,1,0,1,3,3,2014-2015,1,.66666669,150,50,30557
000157,063,11,04,2,2,1,48,6,1,2,99,2,2,99,1,2,1,70,2,2,6,2,4,7,2,1,1,1,0,1,0,0,0,2,2,2,2,2,1,1,5,1,8,6,2,1,1,1,1,1,1,1,5,8,3,2014-2015,0,14,800,70,16953
000160,013,11,01,2,2,2,52,5,1,3,2,99,99,1,5,2,1,30,2,2,5,2,4,10,2,1,1,1,1,1,0,0,0,1,2,2,2,2,1,1,5,1,7,4,2,1,1,1,1,1,1,0,5,5,3,2014-2015,0,26,500,30,19371
000160,021,11,01,2,2,1,28,6,1,3,6,1,1,2,5,2,1,46,2,2,6,2,4,10,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,5,1,4,3,2,1,1,1,1,1,1,1,3,3,3,2014-2015,0,1.1666666,150,46,40867
000160,069,11,04,2,2,2,43,6,1,3,2,99,99,1,5,1,1,58,2,2,6,2,4,11,1,1,1,2,1,0,0,0,0,1,2,2,2,2,1,1,3,1,4,3,2,1,1,1,1,1,1,1,3,5,3,2014-2015,0,11,250,58,36510
000160,101,22,01,2,2,1,43,2,1,2,99,2,2,99,1,2,1,48,2,2,6,2,4,10,2,1,1,2,1,0,0,0,0,1,2,2,2,2,,,,,,,6,99,1,1,1,2,1,0,4,6,2,2014-2015,0,3.75,200,48,6481
000163,090,11,01,2,2,1,46,2,1,4,6,1,1,2,4,2,1,48,2,2,6,2,4,6,2,2,1,2,1,0,0,0,0,1,1,2,2,2,1,1,5,4,4,3,2,2,1,1,1,1,1,1,3,4,3,2014-2015,0,.16666667,300,48,35674
000163,111,11,01,2,1,1,52,6,1,4,6,1,1,2,5,2,1,70,2,2,6,2,4,9,2,2,1,1,1,1,0,0,0,1,2,2,2,2,1,1,5,6,3,2,2,2,1,1,1,1,1,0,1,1,3,2014-2015,1,4,200,70,20213
000187,008,11,01,2,2,1,52,2,1,4,2,99,99,1,5,2,1,48,2,2,6,2,4,8,2,2,1,2,1,1,0,0,0,1,2,2,2,2,1,9,5,6,4,3,2,2,1,2,1,1,1,1,2,5,2,2014-2015,0,12,100,48,14992
000187,037,11,01,2,2,2,60,5,1,3,2,99,99,1,5,1,1,110,2,2,6,2,4,9,2,1,1,1,1,0,1,0,0,1,1,2,2,2,1,1,3,1,4,3,2,1,1,2,1,1,1,1,2,2,3,2014-2015,0,29,100,110,20260
000187,051,11,01,2,1,2,45,1,1,4,6,1,1,2,5,2,1,48,2,2,6,2,4,6,2,2,1,2,0,1,0,0,0,1,2,2,2,2,1,1,5,5,2,1,6,99,1,2,1,1,1,0,1,3,2,2014-2015,1,5,0,48,8368
000190,008,11,03,2,1,1,30,6,1,3,6,1,1,2,2,2,1,60,2,2,6,2,4,8,2,2,1,2,0,0,0,0,1,1,2,2,2,2,1,5,6,6,4,3,2,1,1,1,1,1,1,0,4,7,3,2014-2015,1,1.5,300,60,28179
000190,019,11,01,2,1,2,69,3,1,3,2,99,99,1,5,2,1,30,2,2,6,2,4,8,2,2,1,2,1,0,0,0,0,1,2,2,2,2,1,1,3,1,3,2,2,1,1,1,1,1,0,0,1,1,3,2014-2015,1,8,300,30,32084
000190,073,11,02,2,2,2,46,2,1,3,2,99,99,1,5,2,1,30,2,2,6,1,1,10,2,1,1,2,1,0,0,0,0,1,2,2,2,2,1,5,6,5,3,2,2,2,1,1,1,1,1,1,3,5,3,2014-2015,0,10,150,30,18647
000190,090,11,02,2,2,1,21,6,1,3,6,2,2,2,1,2,1,48,2,2,6,2,4,7,2,1,1,2,1,0,0,0,0,1,2,2,2,2,1,1,3,1,4,2,6,99,1,1,1,1,1,0,3,7,3,2014-2015,0,1,400,48,12906
000197,022,11,01,2,2,1,56,1,1,3,2,99,99,1,5,1,1,52,2,2,1,1,4,11,2,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,3,1,9,6,2,1,1,1,1,1,1,1,2,3,3,2014-2015,0,32,1000,52,94042
000197,022,11,02,2,2,2,51,1,1,3,2,99,99,1,5,1,1,54,2,2,6,2,4,10,2,1,1,2,1,1,0,0,0,1,2,2,2,2,1,1,3,1,9,6,2,1,1,1,1,1,1,1,2,3,3,2014-2015,0,26,1000,54,45194
000214,012,11,01,2,2,1,66,2,1,3,2,99,99,1,5,1,1,55,2,2,1,1,4,10,2,1,1,1,1,0,0,0,0,1,2,2,2,2,1,3,4,4,4,1,2,2,1,2,4,1,1,0,3,4,3,2014-2015,0,25,200,55,18614.5
