conglome,vivienda,hogar,codperso,ocupinf_t1,ocupinf_t2,sexo,edad,estadocivil,tuvotrabajo,categoria_trabajador,trabajopara,registrosunat,cuentassunat,tipocontrato,numpersonastrabajo,tuvootrotrabajo,normtrabaja,horas_normtrabaja,disponiblehorastrabajar,deseaotrotrabajo,antepasadosconsidera,perteneceindig,lenguamaterna,niveleduc,asiste_educ,usointernet,viviadistrito,padece_enfer,sintoma_malestar,enfermedad,recaida,accidente,notuvoenf,essalud,seguroprivado,eps,seguroffaa,sis,tipovivienda,materialparedes,materialpisos,materialtechos,habitaciones,habitacionesdormir,vivienda_status,viviendatitulo,agua_procedencia,agua_potable,conexionsshh,electricidad,celular,internet,personas_ingresos,personas_hogar,pobreza,periodo,status_inf,tiempotrabajo,alquiler,horastotales_sempasada,ingtrabw
001804,034,11,05,2,1,1,20,6,1,3,6,1,1,5,5,2,1,48,2,1,6,2,4,8,1,1,1,2,1,0,0,0,0,1,2,2,2,2,1,1,5,1,6,5,2,1,1,1,1,1,1,0,5,5,3,2014-2015,1,.58333331,700,48,12246
001804,066,11,01,2,2,1,26,6,1,3,6,1,1,2,4,2,1,48,2,2,6,2,4,8,2,1,2,2,0,0,0,0,1,1,2,2,2,2,1,1,3,1,3,2,1,99,1,1,1,2,1,0,1,1,3,2014-2015,0,.083333336,100,48,13137
001804,077,11,02,2,1,1,23,6,1,3,6,1,1,1,5,2,1,48,2,2,8,2,4,6,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,6,4,2,1,6,99,1,1,4,1,1,0,2,2,3,2014-2015,1,.91666669,100,48,11589
001805,002,11,01,2,1,2,65,1,1,3,2,99,99,2,5,2,1,48,2,2,6,2,4,8,2,2,1,1,0,0,0,0,1,1,2,2,2,2,1,1,5,1,5,4,2,1,2,1,1,1,1,0,3,3,3,2014-2015,1,.83333331,400,48,14750
001805,092,11,01,2,2,1,40,1,1,4,6,1,1,2,2,2,1,50,2,2,1,1,4,6,2,1,2,2,1,0,0,0,0,1,2,2,2,2,1,1,4,1,1,1,6,99,1,1,1,2,1,1,2,3,3,2014-2015,0,5,350,50,25414
001807,048,11,02,2,2,1,43,6,1,3,6,1,1,1,2,2,2,40,2,2,6,1,4,8,2,1,1,1,0,1,0,0,0,1,2,2,2,2,1,1,3,1,7,4,2,1,1,1,1,1,1,1,2,2,3,2014-2015,0,19,1000,45,27019
001808,002,11,01,2,2,2,52,5,1,2,99,2,2,99,1,2,1,70,2,2,6,2,4,6,2,1,1,2,1,1,0,0,0,2,2,2,2,2,1,1,5,1,6,4,2,1,1,1,1,1,1,1,3,4,3,2014-2015,0,4,650,70,8419
001808,002,11,02,2,2,2,25,6,1,3,6,1,1,2,2,2,1,49,2,2,6,2,4,10,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,5,1,6,4,2,1,1,1,1,1,1,1,3,4,3,2014-2015,0,2,650,49,20445
001808,046,11,03,2,2,2,38,6,1,3,3,99,99,1,5,2,1,48,2,2,7,2,4,11,2,1,1,1,0,1,0,0,0,1,2,1,2,2,1,1,5,1,5,3,3,1,1,1,1,1,1,1,3,3,3,2014-2015,0,3,800,48,42083
001812,020,11,02,2,2,1,34,2,1,3,6,1,1,2,4,2,1,72,2,2,6,2,4,8,2,1,1,1,1,0,0,0,0,1,2,2,2,2,1,3,3,2,3,2,2,2,1,1,1,1,1,0,3,5,3,2014-2015,0,.5,500,72,15455
001812,034,11,01,2,2,1,53,5,1,3,6,2,1,2,3,2,1,30,2,2,6,2,4,9,2,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,5,1,3,2,2,2,1,1,1,1,1,1,3,3,3,2014-2015,0,.83333331,300,30,11906
001812,034,11,02,2,2,2,22,6,1,3,5,1,1,2,5,2,1,43,2,2,6,2,4,9,1,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,5,1,3,2,2,2,1,1,1,1,1,1,3,3,3,2014-2015,0,1,300,43,20065
001812,050,11,01,2,2,2,48,2,1,3,2,99,99,1,5,2,1,40,2,2,6,2,4,6,2,1,1,1,1,1,0,0,0,1,2,2,2,2,1,1,5,4,4,3,6,99,1,1,1,1,1,0,3,4,3,2014-2015,0,26,200,40,13009
001812,050,11,02,2,2,1,55,2,1,4,2,99,99,1,5,2,1,40,2,2,6,2,4,6,2,2,1,2,0,0,0,0,1,1,2,2,2,2,1,1,5,4,4,3,6,99,1,1,1,1,1,0,3,4,3,2014-2015,0,25,200,40,14200
001812,050,11,03,2,2,2,22,6,1,3,6,1,1,2,4,2,1,30,2,2,6,2,4,9,1,2,1,2,0,0,0,0,1,1,2,2,2,2,1,1,5,4,4,3,6,99,1,1,1,1,1,0,3,4,3,2014-2015,0,1,200,30,9682
001813,022,11,01,2,2,2,43,6,1,3,6,1,1,2,2,2,2,35,2,2,6,2,4,10,2,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,5,1,2,2,2,1,1,1,1,2,1,0,2,3,3,2014-2015,0,5,300,9,2989
001813,039,11,02,2,2,2,54,2,1,2,99,2,2,99,1,1,1,62,2,2,6,2,4,6,2,2,1,1,1,0,0,0,0,1,2,2,2,2,1,1,5,1,4,2,2,2,1,1,1,2,1,0,3,4,3,2014-2015,0,3,500,62,18761
001817,029,11,01,2,2,1,43,2,1,4,6,1,1,2,5,2,1,44,2,2,6,2,4,5,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,7,5,4,4,3,3,2,4,99,3,1,1,1,3,4,3,2014-2015,0,12.25,400,44,23972
001817,064,11,02,2,1,2,61,2,1,2,99,2,2,99,1,2,1,34,1,2,6,1,4,5,2,2,1,1,0,1,0,0,0,2,2,2,2,1,1,7,6,4,5,4,3,2,4,99,3,1,1,0,5,7,2,2014-2015,1,3.75,100,34,15653
001817,077,11,03,2,2,2,23,6,1,3,6,1,1,2,2,2,1,50,2,2,6,2,4,8,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,5,4,4,3,2,2,4,99,4,1,1,0,4,5,3,2014-2015,0,1,120,50,24185
001817,077,11,04,2,1,1,21,6,1,4,6,1,1,2,3,2,1,49,2,2,6,2,4,6,2,2,1,1,0,0,1,0,0,1,2,2,2,2,1,1,5,4,4,3,2,2,4,99,4,1,1,0,4,5,3,2014-2015,1,3,120,49,13495
001823,008,11,01,2,2,1,45,2,1,3,1,99,99,1,99,1,1,76,2,2,6,2,4,7,2,1,1,2,1,0,0,0,0,2,2,2,1,2,1,1,3,1,6,4,2,1,1,1,1,1,1,1,3,5,3,2014-2015,0,25.5,1200,76,85646
001827,028,11,01,2,2,1,29,1,1,1,99,2,2,99,1,2,1,74,2,2,8,2,4,9,2,1,1,2,1,0,0,0,0,2,2,2,2,2,1,1,5,1,4,3,1,99,1,1,1,1,1,1,1,4,3,2014-2015,0,10,500,74,25473
001827,156,11,01,2,2,1,65,1,1,3,2,99,99,1,5,2,2,62,2,2,6,3,4,6,2,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,5,1,5,4,2,1,1,1,1,1,1,1,1,3,3,2014-2015,0,30,500,36,14675
001828,019,11,03,2,1,1,23,6,1,2,99,2,2,99,1,2,1,60,2,2,6,2,4,7,2,2,1,2,0,0,0,0,1,2,2,2,2,2,1,1,3,1,4,3,2,1,1,1,1,1,1,0,3,3,3,2014-2015,1,.083333336,1000,60,7253
001828,045,11,01,2,2,2,47,5,1,3,2,99,99,1,5,2,1,36,1,,6,2,4,10,2,1,1,1,0,1,0,0,0,1,2,2,2,2,1,1,3,1,8,6,2,1,1,1,1,2,1,1,3,5,3,2014-2015,0,20,600,36,31140
001828,045,11,02,2,2,2,26,6,1,3,2,99,99,6,5,2,1,37,2,2,6,2,4,10,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,3,1,8,6,2,1,1,1,1,2,1,1,3,5,3,2014-2015,0,1,600,37,19149
001828,045,11,03,2,2,1,25,6,1,3,6,1,1,2,5,2,1,75,2,2,6,2,4,9,1,1,1,1,0,1,0,0,0,1,1,2,2,2,1,1,3,1,8,6,2,1,1,1,1,2,1,1,3,5,3,2014-2015,0,.33333334,600,75,33564
001828,070,11,08,2,2,1,39,2,1,3,6,1,1,2,5,2,1,40,2,2,6,2,4,9,1,1,1,2,0,0,0,0,1,1,2,2,2,2,1,2,2,1,4,4,2,1,1,1,1,1,1,0,6,9,3,2014-2015,0,15,800,40,27727
001831,011,11,06,2,1,2,26,5,1,3,6,1,1,2,4,2,1,50,2,2,6,2,4,6,2,2,1,2,1,0,0,0,0,1,2,2,2,2,1,1,6,4,6,5,6,99,1,1,1,1,1,1,4,8,3,2014-2015,1,.25,300,50,17991
001831,037,12,01,2,2,1,51,5,1,4,6,1,1,1,3,2,1,80,2,2,6,2,4,9,2,1,1,2,0,1,0,0,0,1,2,2,2,2,1,1,5,4,4,3,2,1,1,1,1,1,1,0,2,3,3,2014-2015,0,1.5,200,80,34708
001831,059,11,01,2,2,1,43,1,1,4,6,1,1,1,2,2,1,50,2,2,6,2,4,5,2,1,1,2,1,1,0,0,0,1,2,2,2,2,1,1,5,4,4,3,6,99,1,1,1,2,1,1,4,7,3,2014-2015,0,18,380,50,22815
001831,059,11,02,2,2,2,42,1,1,3,2,99,99,2,5,2,1,30,2,2,6,1,4,8,2,1,1,2,1,0,0,0,0,1,2,2,2,2,1,1,5,4,4,3,6,99,1,1,1,2,1,1,4,7,3,2014-2015,0,.33333334,380,30,19832
001831,071,22,01,2,2,1,45,2,1,4,6,1,1,2,5,2,1,48,2,2,6,2,4,8,2,1,1,2,0,1,0,0,0,1,2,2,2,2,,,,,,,6,99,1,1,1,1,1,1,2,4,3,2014-2015,0,3,150,48,17949
001831,105,11,01,2,2,1,41,2,1,4,6,1,1,2,4,2,1,48,2,2,1,3,4,7,2,2,1,2,1,0,0,0,0,1,2,2,2,2,1,1,5,1,3,2,2,2,1,1,1,2,1,1,2,4,3,2014-2015,0,1.75,400,48,25910
001839,042,22,01,2,2,1,38,5,1,2,99,2,2,99,1,2,1,84,2,2,6,2,4,6,2,2,1,2,1,1,0,0,0,2,2,2,2,2,,,,,,,6,99,1,2,1,1,1,0,1,2,3,2014-2015,0,7,100,84,16012
001839,058,11,01,2,2,1,51,2,1,3,1,99,99,1,99,1,1,68,2,2,6,2,4,6,2,1,1,2,1,0,0,0,0,2,2,2,1,2,1,1,3,1,5,4,2,1,1,1,1,1,1,1,2,3,3,2014-2015,0,31,250,68,35177
001847,011,11,01,2,1,2,62,1,1,2,99,2,2,99,1,2,1,36,2,2,6,2,4,3,2,2,1,1,1,0,0,0,0,1,2,2,2,2,1,1,3,1,8,5,2,1,1,1,1,1,1,0,3,4,3,2014-2015,1,4.1666665,700,36,15633
001847,022,11,01,2,1,1,53,2,1,4,6,1,1,2,4,1,1,63,2,2,6,2,4,6,2,2,1,1,0,1,0,0,0,1,2,2,2,2,1,1,5,1,6,4,6,99,1,1,1,1,1,1,4,6,3,2014-2015,1,.083333336,700,63,14266
001847,022,11,02,2,2,2,52,2,1,2,99,2,2,99,1,2,1,12,2,2,6,2,4,5,2,2,1,1,0,1,0,0,0,1,2,2,2,2,1,1,5,1,6,4,6,99,1,1,1,1,1,1,4,6,3,2014-2015,0,10,700,12,2200
001847,069,11,02,2,2,2,38,5,1,3,6,1,1,2,3,1,1,60,2,2,6,1,4,7,2,1,2,2,0,0,0,0,1,1,2,2,2,2,1,9,5,4,3,3,2,2,1,1,1,1,1,0,3,3,3,2014-2015,0,.083333336,200,60,13007
001851,038,11,03,2,2,1,31,6,1,3,6,1,1,2,4,2,1,66,2,2,6,2,4,8,2,1,1,1,0,0,0,0,1,1,2,2,2,2,2,1,5,1,2,2,1,99,1,1,1,2,1,0,2,4,3,2014-2015,0,3,300,66,19703
001851,078,11,02,2,1,1,44,2,1,4,6,1,1,1,5,2,1,70,2,2,8,2,4,6,2,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,5,1,2,2,2,1,1,1,1,1,1,0,2,5,3,2014-2015,1,5,350,70,24146
001851,116,11,01,2,2,2,39,2,1,3,2,99,99,1,5,2,1,48,2,2,6,2,4,10,2,1,1,2,0,0,0,0,1,1,2,2,2,2,2,1,3,1,3,3,6,99,1,1,1,1,1,1,2,3,3,2014-2015,0,14.5,600,48,25954
001851,116,11,02,2,2,1,42,2,1,3,2,99,99,1,5,2,1,45,2,2,6,2,4,10,2,1,1,2,0,0,0,0,1,1,2,2,2,2,2,1,3,1,3,3,6,99,1,1,1,1,1,1,2,3,3,2014-2015,0,10,600,45,33210
001875,125,11,01,2,2,1,27,2,1,3,6,1,1,1,1,2,1,72,1,2,6,2,4,6,2,1,1,1,0,1,0,0,0,1,2,2,2,2,2,1,3,1,2,1,2,1,2,1,1,1,1,1,2,4,3,2014-2015,0,3,550,72,29161
001875,125,11,02,2,1,2,24,2,1,3,6,1,2,1,1,2,2,36,1,,6,2,4,7,2,1,1,2,0,1,0,0,0,1,2,2,2,2,2,1,3,1,2,1,2,1,2,1,1,1,1,1,2,4,3,2014-2015,1,2,550,33,16257
001875,196,11,02,2,2,2,30,6,1,3,6,1,1,2,4,2,1,40,2,2,6,2,4,9,1,1,1,2,0,0,0,0,1,1,2,2,2,2,2,1,5,1,3,2,2,1,1,1,2,1,1,1,4,4,3,2014-2015,0,9,700,40,28921
001875,298,11,03,2,2,1,44,5,2,3,2,99,99,1,5,2,2,40,2,2,6,2,4,8,2,1,2,1,1,0,0,0,0,1,2,2,2,2,2,1,3,1,4,3,2,1,1,1,1,1,1,0,3,3,3,2014-2015,0,17,500,0,19689
001876,007,11,02,2,2,1,29,6,1,3,6,1,1,2,2,1,1,59,2,2,6,2,4,9,2,1,1,2,0,0,0,0,1,1,2,2,2,2,2,1,1,1,5,3,2,1,1,1,1,1,1,1,3,3,3,2014-2015,0,.16666667,500,59,44350
001882,040,11,05,2,2,2,28,6,1,4,6,1,1,2,1,2,1,60,2,2,8,2,4,6,1,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,5,4,1,0,2,3,1,1,1,1,1,0,2,5,3,2014-2015,0,.58333331,300,60,10740
001882,064,11,04,2,2,1,29,6,1,3,6,2,1,2,4,2,2,48,2,2,7,1,4,6,2,1,1,2,0,1,0,0,0,1,2,2,2,2,2,1,5,1,2,1,1,99,1,1,1,1,1,1,3,4,3,2014-2015,0,.41666666,400,52,10790
001882,078,11,01,2,2,1,41,1,1,2,99,2,2,99,1,2,1,60,2,2,6,2,4,9,2,1,1,1,0,0,0,0,1,2,2,2,2,2,2,1,3,1,5,4,2,2,1,1,1,1,1,0,2,5,3,2014-2015,0,20,600,60,11969
001886,066,11,05,2,1,1,21,6,1,3,6,1,1,2,3,2,1,48,2,2,6,2,4,9,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,3,2,2,4,3,2,1,1,1,1,2,1,0,4,5,3,2014-2015,1,1,1500,48,22900
001886,114,11,01,2,2,2,41,6,1,3,2,99,99,1,5,2,1,36,2,2,6,2,4,9,1,1,1,1,0,0,0,0,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,3,2014-2015,0,15,500,36,25446
001898,054,23,03,2,2,1,28,6,1,3,6,1,1,1,5,1,1,54,2,2,1,2,4,9,1,1,1,1,1,1,0,0,0,1,2,1,2,2,,,,,,,6,99,1,1,2,2,1,0,4,7,3,2014-2015,0,6.5,200,54,35939
001898,054,23,04,2,1,1,22,6,1,3,6,1,1,2,3,2,1,68,2,2,1,2,4,6,2,1,1,2,1,1,0,0,0,1,2,2,2,2,,,,,,,6,99,1,1,2,2,1,0,4,7,3,2014-2015,1,2.5,200,68,16902
001898,054,23,05,2,2,1,20,6,1,3,6,1,1,2,5,2,1,48,2,2,6,2,4,6,2,1,1,2,0,0,0,0,1,1,2,2,2,2,,,,,,,6,99,1,1,2,2,1,0,4,7,3,2014-2015,0,.25,200,48,12579
001908,009,11,02,2,2,1,53,6,1,3,2,99,99,2,5,1,1,29,2,2,6,2,4,11,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,3,5,4,4,3,2,1,6,99,1,1,1,0,2,2,3,2014-2015,0,1.5,120,29,37937
001908,027,11,04,2,2,2,30,6,1,3,6,2,1,2,1,2,1,60,2,2,6,2,4,8,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,5,1,4,3,2,1,1,1,1,1,1,0,2,4,3,2014-2015,0,8,0,60,17313.25
001908,058,11,01,2,2,1,41,1,1,3,6,1,1,2,1,2,1,45,2,2,6,2,4,6,2,1,1,2,1,1,0,0,0,1,2,2,2,2,1,1,5,1,4,3,2,1,6,99,1,2,1,1,2,4,3,2014-2015,0,12,400,45,26879
001908,058,11,03,2,2,2,23,6,1,3,6,1,1,1,5,2,1,51,2,2,6,2,4,6,2,1,1,2,0,1,0,0,0,1,2,2,2,2,1,1,5,1,4,3,2,1,6,99,1,2,1,1,2,4,3,2014-2015,0,4.1666665,400,51,15687
001908,071,11,02,2,2,2,59,2,1,1,99,2,2,99,1,2,1,66,2,2,6,2,4,6,2,2,1,1,0,0,0,0,1,2,2,2,2,2,1,1,5,1,6,3,2,1,6,99,1,1,1,0,4,5,3,2014-2015,0,10,1000,66,19096
001908,071,11,04,2,1,2,33,6,1,3,6,1,1,1,3,2,1,46,2,2,6,1,4,10,2,1,2,2,1,0,0,0,0,1,2,1,2,2,1,1,5,1,6,3,2,1,6,99,1,1,1,0,4,5,3,2014-2015,1,2,1000,46,87150
001908,088,11,02,2,1,2,54,6,1,3,2,99,99,1,5,2,1,35,2,2,4,1,4,11,2,1,1,1,1,1,0,0,0,1,2,2,2,2,1,1,5,4,4,3,2,1,6,99,1,1,1,0,3,4,3,2014-2015,1,31,400,35,15501.899
001912,055,11,01,2,1,1,42,1,1,3,6,1,1,2,5,2,1,46,2,1,8,1,4,8,2,1,1,2,0,0,0,0,1,1,2,2,2,2,2,1,3,2,3,2,1,99,1,1,1,2,1,1,3,4,3,2014-2015,1,1,1000,46,19392.066
001912,055,11,03,2,2,1,30,6,1,3,2,99,99,6,5,2,1,40,2,2,6,2,4,10,2,1,1,2,1,0,0,0,0,2,2,2,1,2,2,1,3,2,3,2,1,99,1,1,1,2,1,1,3,4,3,2014-2015,0,15.666667,1000,40,24011.643
001914,036,11,01,2,2,1,56,2,1,2,99,2,2,99,1,2,1,30,2,2,6,2,4,10,2,1,1,2,0,0,0,0,1,1,2,2,2,2,2,1,1,1,4,3,2,1,1,1,1,1,1,1,2,4,3,2014-2015,0,.083333336,500,30,20807
001914,036,11,02,2,2,2,53,2,1,3,6,1,1,2,4,2,1,50,2,2,5,2,4,10,2,1,1,2,0,0,0,0,1,1,2,2,2,2,2,1,1,1,4,3,2,1,1,1,1,1,1,1,2,4,3,2014-2015,0,20,500,50,37668
001914,071,11,01,2,2,2,51,2,1,3,6,1,1,1,2,2,1,40,2,2,6,2,4,10,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,3,1,5,3,2,1,1,1,1,1,1,1,2,5,3,2014-2015,0,23,2000,40,60268
001914,071,11,06,2,2,2,48,6,1,6,99,99,99,7,1,2,1,84,2,2,6,2,4,3,2,2,1,2,0,0,0,0,1,1,2,2,2,2,1,1,3,1,5,3,2,1,1,1,1,1,1,1,2,5,3,2014-2015,0,17,2000,84,20180
001914,169,11,01,2,2,2,43,4,1,3,2,99,99,1,5,2,1,40,2,2,5,2,4,10,2,1,1,2,0,1,0,0,0,1,2,2,2,2,2,1,3,1,4,3,2,1,1,1,1,1,1,1,1,4,3,2014-2015,0,22.75,2500,40,22642
001926,023,11,01,2,2,1,48,2,1,1,99,1,1,99,1,2,1,53,2,2,6,2,4,10,2,1,2,1,0,0,0,0,1,2,1,2,2,2,2,1,1,1,7,3,1,99,1,1,1,1,1,1,2,3,3,2014-2015,0,5.5,4000,53,95621
001945,030,11,01,2,1,1,63,2,1,4,6,1,1,2,1,2,1,56,2,2,4,2,4,4,2,2,1,1,0,0,0,0,1,1,2,2,2,2,2,1,5,1,3,2,2,1,1,1,1,1,1,0,1,2,3,2014-2015,1,.16666667,350,56,22677
001945,043,11,03,2,1,2,42,6,1,3,6,2,1,7,1,2,1,56,2,2,6,1,4,5,2,2,1,1,0,1,0,0,0,1,2,2,2,2,1,1,5,1,3,2,6,99,1,1,1,1,0,0,4,4,3,2014-2015,1,3,450,56,13294
001945,062,11,01,2,2,1,37,2,1,1,99,2,2,99,1,2,2,48,1,2,7,2,4,5,2,1,1,2,1,0,0,0,0,1,2,2,2,2,2,1,5,1,1,1,6,99,2,1,1,2,1,0,2,3,3,2014-2015,0,10.5,250,5,45896
001945,062,11,02,2,2,2,30,2,1,3,6,1,1,2,5,2,2,48,2,2,8,3,4,6,2,2,1,2,1,0,0,0,0,1,2,2,2,2,2,1,5,1,1,1,6,99,2,1,1,2,1,0,2,3,3,2014-2015,0,4.9166665,250,38,21490
001945,093,11,02,2,1,2,49,1,1,6,99,99,99,7,1,2,2,60,2,2,6,2,4,6,2,1,1,1,0,1,0,0,0,1,2,2,2,2,1,1,5,1,4,2,2,1,1,1,1,1,1,1,4,5,3,2014-2015,1,2,300,40,18183
001945,093,11,05,2,2,1,25,5,1,3,2,99,99,6,5,2,2,40,2,2,6,2,4,7,1,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,5,1,4,2,2,1,1,1,1,1,1,1,4,5,3,2014-2015,0,.16666667,300,24,13488
001949,049,11,02,2,1,2,30,6,1,3,6,1,1,1,5,1,1,50,2,2,1,2,4,8,2,1,1,1,1,0,0,0,0,1,2,2,2,2,1,1,5,1,6,5,2,1,1,1,1,1,1,1,3,3,3,2014-2015,1,2,500,50,25148
001949,049,11,03,2,2,1,26,6,1,3,6,1,1,2,1,2,2,45,2,2,6,2,4,8,2,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,5,1,6,5,2,1,1,1,1,1,1,1,3,3,3,2014-2015,0,2,500,50,23723
001949,085,11,01,2,2,1,51,2,1,4,5,2,2,2,4,2,1,48,2,2,1,1,4,5,2,2,1,1,1,0,0,0,0,1,2,2,2,2,1,1,5,1,3,2,2,2,1,1,1,1,1,1,3,6,3,2014-2015,0,20,350,48,12809.186
001949,085,11,03,2,2,1,24,6,1,3,6,1,1,1,4,2,2,48,2,2,7,2,4,8,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,5,1,3,2,2,2,1,1,1,1,1,1,3,6,3,2014-2015,0,1.1666666,350,40,26279
001949,110,11,02,2,2,2,51,2,1,2,99,2,2,99,1,2,1,36,1,,1,1,1,5,2,2,1,1,0,0,1,0,0,2,2,2,2,1,1,1,3,1,5,3,2,1,1,1,1,1,1,1,4,6,3,2014-2015,0,3,500,36,278
001950,021,12,04,2,1,1,36,6,1,3,2,99,99,2,5,2,1,46,2,2,6,2,4,9,2,2,1,1,0,0,0,0,1,1,2,2,2,2,1,1,3,1,6,4,2,1,1,1,1,2,1,1,7,8,3,2014-2015,1,.25,500,46,14618
001954,028,11,01,2,2,1,40,2,1,4,6,1,1,2,2,2,1,58,2,2,6,2,4,6,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,5,1,4,3,2,1,1,1,1,1,1,1,3,4,3,2014-2015,0,.16666667,700,58,19021
001954,028,11,03,2,1,1,21,6,1,3,6,2,1,2,2,2,1,40,2,2,8,3,4,9,1,1,1,2,0,1,0,0,0,1,2,2,2,2,1,1,5,1,4,3,2,1,1,1,1,1,1,1,3,4,3,2014-2015,1,.25,700,40,10700
001954,042,11,03,2,2,1,54,5,1,3,2,99,99,1,5,2,1,40,2,2,8,3,4,9,1,1,1,2,0,1,0,0,0,1,2,2,2,2,1,1,5,4,6,4,2,1,1,1,1,1,1,1,3,4,3,2014-2015,0,25,800,40,21014
001955,069,11,01,2,2,2,64,3,1,3,2,99,99,1,5,2,1,36,2,2,6,2,4,10,2,1,1,1,0,0,0,0,1,1,2,2,2,2,2,1,1,1,4,3,2,1,1,1,1,1,1,1,2,2,3,2014-2015,0,25,0,36,55445
001955,108,11,01,2,2,1,46,2,1,2,99,2,1,99,1,2,1,54,2,2,6,2,4,10,2,1,1,2,0,0,0,0,1,2,2,2,2,2,2,1,1,1,4,3,1,99,1,1,1,1,1,1,2,4,3,2014-2015,0,18,1000,54,14008
001955,108,11,02,2,2,2,38,2,1,3,6,1,1,1,4,1,1,34,2,2,6,2,4,10,2,1,1,2,0,0,0,0,1,1,2,1,2,2,2,1,1,1,4,3,1,99,1,1,1,1,1,1,2,4,3,2014-2015,0,8,1000,34,43964
001973,012,11,01,2,2,1,62,2,1,3,2,99,99,1,5,2,1,40,2,2,6,2,1,6,2,2,1,1,0,1,0,0,0,1,2,2,2,2,1,1,2,1,4,3,1,99,1,1,1,1,1,0,3,4,3,2014-2015,0,29.833334,800,40,14631
001973,035,11,01,2,2,2,55,1,1,2,99,2,2,99,1,2,1,56,2,2,6,2,4,4,2,2,1,2,1,0,0,0,0,2,2,2,2,1,1,1,5,1,8,5,3,1,1,1,1,2,1,0,4,6,3,2014-2015,0,2,600,56,24668
001973,085,11,01,2,2,1,38,1,1,4,6,1,1,2,3,2,1,45,2,2,6,2,1,5,2,2,1,2,1,0,0,0,0,1,2,2,2,2,1,1,5,1,4,3,2,1,1,1,1,1,1,1,1,4,3,2014-2015,0,.83333331,500,45,23777
001973,106,11,04,2,1,1,26,6,1,3,6,2,1,1,5,2,1,44,2,2,1,2,4,8,2,1,1,2,1,0,0,0,0,1,2,2,2,2,1,1,5,1,5,4,2,1,1,1,1,1,1,0,4,4,3,2014-2015,1,.58333331,800,44,13710
001975,023,11,07,2,2,1,27,5,1,3,6,1,1,2,5,2,1,36,2,2,8,2,4,5,2,1,1,2,1,0,0,0,0,1,2,2,2,2,1,1,5,4,5,4,2,1,1,1,1,1,1,0,5,7,3,2014-2015,0,2.5,400,36,12568
001975,088,11,03,2,2,1,26,6,1,4,6,1,1,1,2,2,1,45,2,2,1,1,4,6,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,5,4,4,2,2,1,1,1,1,1,1,0,2,4,3,2014-2015,0,4,400,45,43176
001979,046,11,02,2,2,2,46,2,1,3,2,99,99,1,5,2,1,25,2,2,8,3,4,10,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,2,1,6,4,2,1,1,1,1,1,1,1,2,4,3,2014-2015,0,13,400,25,19825
001982,046,11,01,2,1,2,64,2,1,4,2,99,99,1,5,2,1,36,2,2,6,2,4,6,2,2,1,1,0,0,0,0,1,1,2,2,2,2,1,1,3,1,4,3,6,99,1,1,1,2,1,0,3,3,3,2014-2015,1,38,200,36,14323
001982,046,11,03,2,2,2,36,6,2,3,6,2,1,2,1,2,2,30,1,,6,2,4,10,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,3,1,4,3,6,99,1,1,1,2,1,0,3,3,3,2014-2015,0,2,200,0,11001
001982,071,11,01,2,1,1,50,2,1,2,99,2,1,99,1,1,1,66,2,2,6,2,4,6,2,1,1,2,0,0,0,0,1,2,2,2,2,2,1,1,5,1,5,2,1,99,1,1,1,1,1,1,2,2,3,2014-2015,1,.66666669,650,66,27807
001987,071,11,01,2,2,1,51,2,1,4,6,1,1,1,4,2,2,48,2,2,6,2,4,6,2,2,1,2,1,0,0,0,0,1,2,2,2,2,2,1,5,1,2,2,1,99,2,1,2,2,1,1,3,5,3,2014-2015,0,20.25,150,37,16829
001987,071,11,03,2,2,1,20,6,1,4,6,1,1,2,4,2,1,45,2,2,6,2,4,6,2,1,1,2,1,1,0,0,0,1,2,2,2,2,2,1,5,1,2,2,1,99,2,1,2,2,1,1,3,5,3,2014-2015,0,2.5,150,45,16829
